,Country_Area,Quantity,Value,year,month,day,date,price
265,Russia,78243.0,54025.0,2013,6,15,2013-06-15,0.6904771033830502
266,Switzerland,836.0,2920.0,2013,6,15,2013-06-15,3.492822966507177
267,Turkey,89902.0,58348.0,2013,6,15,2013-06-15,0.6490178194033503
268,Ukraine,17600.0,23793.0,2013,6,15,2013-06-15,1.351875
269,Other Europe,6562.0,7934.0,2013,6,15,2013-06-15,1.2090825967692778
270,Euro Area,314058.0,456589.0,2013,6,15,2013-06-15,1.453836552483936
271,Pacific Rim Countries,611507.0,630424.0,2013,6,15,2013-06-15,1.0309350506208432
272,Australia,24365.0,13181.0,2013,6,15,2013-06-15,0.540980915247281
273,China,141582.0,141643.0,2013,6,15,2013-06-15,1.0004308457289768
274,Indonesia,696.0,1586.0,2013,6,15,2013-06-15,2.278735632183908
275,Japan,155424.0,175615.0,2013,6,15,2013-06-15,1.129909151739757
276,Countries(NICS),265842.0,279398.0,2013,6,15,2013-06-15,1.050992694909006
277,Hong Kong,41.0,111.0,2013,6,15,2013-06-15,2.707317073170732
278,Korea,216774.0,203992.0,2013,6,15,2013-06-15,0.9410353640196703
279,Singapore,19.0,80.0,2013,6,15,2013-06-15,4.2105263157894735
280,Taiwan,49009.0,75216.0,2013,6,15,2013-06-15,1.5347385174151686
281,Other Pacific Rim,23598.0,19002.0,2013,6,15,2013-06-15,0.8052377320111874
282,South/Central America,184913.0,130276.0,2013,6,15,2013-06-15,0.7045259121857306
283,Argentina,14989.0,27364.0,2013,6,15,2013-06-15,1.825605443992261
284,Brazil,165001.0,97704.0,2013,6,15,2013-06-15,0.5921418658068739
285,Chile,,,2013,6,15,2013-06-15,
286,Colombia,1313.0,1706.0,2013,6,15,2013-06-15,1.2993145468392993
287,Venezuela,,,2013,6,15,2013-06-15,
288,Other S/C America,3609.0,3503.0,2013,6,15,2013-06-15,0.970628983097811
289,Other Countries,111664.0,120623.0,2013,6,15,2013-06-15,1.0802317667287578
290,India,34290.0,43275.0,2013,6,15,2013-06-15,1.2620297462817147
291,South Africa,4465.0,6042.0,2013,6,15,2013-06-15,1.353191489361702
292,Thailand,11514.0,13559.0,2013,6,15,2013-06-15,1.177609866249783
293,Other,61394.0,57747.0,2013,6,15,2013-06-15,0.9405968009903248
294,Total Census Basis,2286567.0,2333890.0,2013,7,15,2013-07-15,1.0206960915643408
